,date,developerResponse,review,rating,isEdited,userName,title
0,2022-01-31 21:42:00,"{'id': 28341111, 'body': 'Thank you for the review! We do try to provide a lot of value even in our free version. Thank you again!', 'modified': '2022-03-02T17:37:58Z'}","This app is the best free mental health tool I’ve ever come across. The fact that it’s free and you have access to almost every feature without holding back the most important things that will truly help a person truly shows that those who made this care about others genuinely. Unlike meditation and other self-help apps that charge exorbitant amounts of money they are able to positively effect those who are searching for, and need, the help they deserve but can’t afford it. I am truly grateful I live in a world where I know developers like this exist and it gives me hope that there are more out there that still aim to use technology to reach out and help others, not just make a profit. As soon as I can afford it I want to make a point to buy a membership because I believe in their cause and I hope they become the number one app for self-help across all application stores.",5,False,Bucwinger,True Altruism
1,2021-01-03 20:28:01,"{'id': 20562233, 'body': ""Thank you for taking the time to provide this feedback. It's very helpful and something we want to incorporate into future versions. Gratefully yours!"", 'modified': '2021-01-21T20:13:24Z'}","I love this app very much. I really like all the tools it has to improve mood. The primary reason why I am giving this four stars instead of five stars Hass to do with the accessibility with voiceover. Voiceover is an accessibility service that changes how the device works to help blind and visually impaired people like me use the touchscreen. In order for voiceover to work well, the app and the interface Hass to be programmed right. Don't get me wrong, because I do think this is one of the most accessible apps for mood out there, but it is lacking a couple of things with voiceover accessibility. For example, when I try to customize the days for a reminder, voiceover does not give me any indication of which days are checked off. For the days that are checked off for the reminders, why not have voiceover say something like M selected or M checked? That would give blind and visually impaired users an indication that Monday is checked off. Otherwise, everything else about this app is great. If it wasn't for the voiceover accessibility problem, then I would give this five stars.",4,False,KNE06482,"Love this app but, …"
2,2022-05-27 15:03:36,"{'id': 30485989, 'body': ""Thank you for this review! You have it so right - everyone is different with respect to sleep. Tracking and inspecting what works or doesn't work is at the root of improving sleep. With gratitude!"", 'modified': '2022-06-21T20:13:07Z'}","I have struggled with sleep since I was a child, but have never thought to journal it until recently. This app has been great for that, it helps me track how many nights of poor sleep versus how many nights of decent sleep I am actually getting. I include factors in my entry that could be impacting my sleep, such as caffeine consumed during the day, exercise, stressors of the previous day, alcohol consumed the previous day, etc. It has been really helpful to be able to look back and see what factors help and what factors hinder sleep. I also use the mood tracking function so I can observe how mood and sleep correlate with each other. I decided to just stick with those two things for simplicity, but I like how many different things there are that you can track with the app.",5,False,AbbaZabbaPanther,"Simple, easy to use"
3,2018-08-05 15:48:20,"{'id': 4599296, 'body': ""Hi Charlotte... Thank you for the review! We'd love to chat more about the weekly reports and gratitude. If you send us an email to hello@getmoodfit.com we can explore new features to address this for you. Hope to hear from you. Thanks!"", 'modified': '2018-08-09T20:06:16Z'}","I’ve tried almost all of the mood/CBT/depression/anxiety/mental health apps on the market and I can’t say enough good things about Moodfit. You can track as few or as many things as you’d like - from mood and sleep to mindfulness, medication, and socialization. It offers encouragement and tips to help you navigate your way out of a negative mood, and you can add as many or as few details as you want. The smallest of caveats - I wish the weekly reports had a bit more summarization, but with some things (like gratitude), I know that can be hard to do. Maybe a question at the end of the gratitude section, e.g. how grateful do you feel today, would help? Overall, though, again, you can’t go wrong with this app.",5,False,Charlotte Singer,Can’t go wrong - love all the customization available!
4,2021-11-05 01:55:27,"{'id': 27241939, 'body': 'Thank you for the thoughtful review!', 'modified': '2022-01-05T00:35:34Z'}","I really appreciate all of the different features in this app, especially the mood tracking and gratitude listening. There is a history feature which allows you to chart your mood changes over time which helped me to better understand patterns I was experiencing. The grounding tool has helped me when I am experiencing sudden anxiety. I tried the free version which was great, but ended up upgrading to the paid version which has been a worthwhile investment for me. This app along with therapy have really been beneficial. If therapy is not an option for someone at the present time, the CBT resources in this app could be helpful in working through thoughts and feelings.",5,False,marbles257,Helpful app!
5,2021-06-25 16:41:02,"{'id': 23605195, 'body': 'Thank you for the review! We’re grateful to hear how Moodfit has been helpful and that you like the CBT tool. 🤗 ', 'modified': '2021-06-27T02:31:55Z'}","The app is pretty awesome to be honest. I never thought I’d be keeping track of my moods through an app but here I am…. And it’s definitely helped me with keeping track of my moods and other daily goals I set. The CBT part of the app is probably my favorite though. Anytime I have distorted thinking, I’ll go in the app and write out why I was feeling the way I was, or at least try to figure out why I was feeling like I was and try to work through it so I can try to rewire the way my brain acts I’m certain situations. I have adhd, bi-polar disorder as well as a couple other disorders and this app has definitely helped in keeping me somewhat sane…. Try it out!",5,False,Jameswithadhd,App has helped me out a lot 💪
6,2022-06-14 12:22:04,"{'id': 30485947, 'body': ""So happy to hear you're finding Moodfit helpful! Hearing that truly is what makes us smile. Thank you for the great review!"", 'modified': '2022-06-21T20:11:07Z'}","This app has been a game changer for my mental health. I love the simplicity, customization, and the thoughtful details ( for instance, love how it lets you savor your gratitude by playing it back for you before saving) I have tried a number of other mental health apps to track my daily wellness goals and routines, but they have fallen short. This one is my fave ever, and makes it a joy to check off the goals that I set. Big thank you to the  developers! Especially for making the basic version actually useful and beneficial too.   It has been a lifesaver. Thank you.",5,False,Randy310,Love this app for mental fitness so much
7,2019-03-09 17:24:48,"{'id': 7955644, 'body': ""Thank you for the great review! We're genuinely grateful. It's humbling when we hear directly from users how Moodfit has helped them. Don't hesitate to contact us with feedback or suggestions. You can reach us anytime at hello@getmoodfit.com. Much ❤️ to you!"", 'modified': '2019-03-28T19:07:14Z'}","I love this app. I suffer from anxiety and depression. This app helps me stay focus on my daily goals and basic self care. It’s a simple app but that does not make it less effective. My favorite parts are the ability to add your own goals, the weekly updates, and the motivational articles. I do love that I can track my mood over time so I can see how I’m doing or if I’m about to go into a down cycle. There is so much to love about the app that I can not put it all here. If you have mental health issues I do recommend this app highly.",5,False,myemmanuel,This app really does help
8,2021-03-01 02:04:45,"{'id': 22201095, 'body': 'Thank you for the review. We have worked to improve the performance. Please drop us an email, hello@getmoodfit.com and let us know exactly what activity is taking too long so we can address it. Thank you again!', 'modified': '2021-04-12T20:37:38Z'}","I truly love this app. I've been using it since around September 2020, and I am starting to schedule it back into my routine again. It helps me to develop a schedule around understanding my emotions and anchoring me during rough parts of the day. 

The only thing that I wish was better was how long the loading time is when I update an activity. Navigating the app is a difficult because the page-loading-time is slow, even when connected to stable WiFi. This is something that needs to be improved upon, especially when you have a subscription. However, it is a wonderful resource despite app navigation.",4,False,26454!,Amazing!
9,2020-11-21 14:38:07,"{'id': 20562349, 'body': ""Thank you so much for the awesome review! We're gratified to hear all the ways you're finding Moodfit helpful. With much gratitude! "", 'modified': '2021-01-21T20:21:22Z'}","This app is amazing. I have adhd and anxiety and I’ve been struggling to track my mood/focus and other things daily to see how It changes throughout time. This app allows me to track my therapy sessions, medication, sleep, time spent on mindfulness, exercise, etc. which really helps me visualize the circumstances surrounding my feelings and mood that day. I’ve used a lot of apps similar to this but they’ve all been separate apps. This app is everything I need built into one. Highly recommend !",5,False,MegaSoccer94,Best mental health app I’ve used
10,2020-06-04 10:13:21,"{'id': 16082369, 'body': 'Thanks for the review! We love it that you’re finding it helpful! ', 'modified': '2020-06-18T23:37:03Z'}","I like the daily messages. They can help you think differently about your feelings and give you encouragement at the same time. Using this has helped me to track my mood and sleep patterns better. As well as helping me to remember the good things that happen each day, with an overview at the end of the week. I am still new to using this and will be exploring more of the options available. Thanks for making it easy to use!",5,False,Shay 'Stein,Offers everything I was lookin for in an app like this.
11,2022-10-22 17:32:22,"{'id': 32827159, 'body': ""Thank you for the review! We're very happy that you found us. With gratitude!"", 'modified': '2022-10-27T21:40:29Z'}",I have been struggling with my mood as well as insomnia for 6-7 weeks and I read about this app in bphope the magazine focusing on information and support for people with bipolar disorder. I loved the app the first time I tried it and I love the positive effects I had from tracking my moods. I also am incredibly grateful for the positive things that are offered when my thinking is negative and suggestions for how to make my thinking more positive.,5,False,Positivity is FOUND,Helpful for feeling empowered
12,2023-03-29 20:22:48,"{'id': 35902273, 'body': ""Thank you for the review. Glad you've joined us!"", 'modified': '2023-04-12T01:30:04Z'}","I just got this app last night, so I’m exploring. So far, I like it and probably will go to the prime version.

Okay, I just did go to the full version. I get a free week to test it out and the price afterwards is great. Cheaper than Weight Watchers, monthly, even better for a full year and I think that it will help me realize what makes me eat and drink, something that a weight loss program doesn’t do or doesn’t do well.",5,False,P. Feather,"So far, so good."
13,2022-04-27 22:49:17,"{'id': 30486062, 'body': ""Thank you for the great review! You're so right - it's not about pushing away a low mood. Instead it's about awareness, acceptance, and taking basic good self-care steps. With our gratitude!"", 'modified': '2022-06-21T20:16:34Z'}","First day and already in love with with this app. Having a rough afternoon and after reporting a low mood the app walked me through breathing, reminders, and actions I can take to help. Not necessarily to get rid of the emotion but to process it, which is exactly what I needed. Love that there are spaces to type my comments to help with the processing. All using just the free version! Would love to expand to use their other tools like CBT.",5,False,Lorree22,Even the free version is helpful
14,2019-11-29 07:26:21,"{'id': 12754148, 'body': ""We're grateful for your review! You have totally nailed the essence of Moodfit - giving users more agency and control over their lives and improving their moods. Thank you!"", 'modified': '2020-01-06T19:44:40Z'}","I’m traveling a lot and have been unable to find a routine for myself to help manage my mental illness, much less find time or space for traditional therapy. This app has been an absolute game changer in giving me the structure to stabilize my moods during this transitional period. This app has fundamentally changed the way I think about dealing with my mental health, and made me feel like I have more agency and control over my chaotic life. Cannot recommend it enough!",5,False,madino78,Best tool I’ve found
15,2022-01-03 08:52:15,"{'id': 27241913, 'body': 'Thank you for the review! With gratitude!', 'modified': '2022-01-05T00:33:54Z'}","This is an “all in one” app where you can customize a large variety of goals to accomplish in bite size daily pieces. The app guides the user through every step, educates the user on the benefits of every exercise (complete with scientific articles), and gives customized encouragement throughout the day. I personally use the cbt therapy, prayer, exercise, mood, meditation, gratitude, breathing, acts of kindness, nutrition and sleep tools.

Best wishes on your journey!",5,False,Keep on shuffling,Great application!
